Site ID,Sample ID,Sample Date,NO3,SO4,Cl,Na,K,Mg,Ca,Si,Na*,K*,Mg*,Ca*,notes
Guaba bog,PR13-60,30-Mar-13,BDL,11,160,141,12,23,23,116,5,9,10,21,
Guaba bog,PR13-73,31-Mar-13,BDL,10,124,115,11,18,19,76,9,9,8,17,
Guaba bog,PR13-74,31-Mar-13,BDL,10,138,129,12,20,21,88,11,10,9,18,
Guaba bog,PR14-78,1-Jun-14,BDL,7,155,167,18,33,48,166,34,16,20,46,
Guaba bog,PR14-89,5-Jun-14,32,9,194,170,14,31,44,181,5,11,15,40,
Guaba bog,PR14-89,5-Jun-14,37,10,188,172,16,35,46,205,12,13,19,43,
Guaba slide,LS1,1-Jun-06,,,,211,18,42,60,324,,,,,
Guaba slide,LS2/Gsw1,19-Nov-06,,,,167,15,42,63,349,,,,,
Guaba slide,LS3/Gsw2,19-Nov-06,,,,162,16,41,62,334,,,,,
Guaba slide,LS4/Gsw3,27-Jun-07,,,,188,19,43,66,324,,,,,"Published by Lugolobi et al. (2010), and Kurtz et al. (2011). "
Guaba slide,Gsw4,5-Jul-07,,,,196,18,46,71,349,,,,,Published by  Kurtz et al. (2011).
Guaba slide,PR13-35,24-Mar-13,BDL,8,173,197,19,41,67,319,49,16,27,64,
Guaba slide,PR13-59,30-Mar-13,BDL,10,168,168,16,31,45,210,25,14,18,43,Excluded from average.
Guaba slide,PR13-72,31-Mar-13,BDL,10,108,112,11,17,20,78,19,9,8,19,Excluded from average.
Guaba slide,PR14-12,23-Feb-14,48,12,180,188,17,36,60,279,34,14,21,57,Excluded from average.
Guaba slide,PR14-41,26-Feb-14,BDL,12,179,190,20,37,58,290,38,17,22,55,
Guaba slide,PR14-64,2-Mar-14,5,13,158,187,19,37,63,289,52,17,24,60,
Guaba slide,PR14-77,1-Jun-14,1,10,159,189,15,37,62,289,54,13,24,60,
Guaba slide,PR14-87,5-Jun-14,BDL,9,155,190,16,38,64,264,58,14,25,61,
R191seep,R191seep,7-Jul-12,3,12,216,265,10,31,86,395,81,7,14,83,Excluded from average.
R191seep,PR13-33,24-Mar-13,BDL,9,206,285,11,35,97,417,109,7,18,94,
R191seep,PR13-56,30-Mar-13,BDL,10,185,247,8,32,79,328,90,5,17,76,Excluded from average.
R191seep,PR13-77,31-Mar-13,BDL,9,183,242,8,33,81,290,86,5,18,78,Excluded from average.
R191seep,PR14-13,23-Feb-14,87,29,198,257,11,40,89,336,88,8,24,86,
R191seep,PR14-44,26-Feb-14,BDL,39,232,272,11,32,88,389,74,8,13,84,
R191seep,PR14-67,2-Mar-14,BDL,13,190,268,12,32,89,390,106,9,16,86,
R191seep,PR14-76,1-Jun-14,1,12,194,274,12,32,91,381,108,9,16,88,
R191seep,PR14-85,4-Jun-14,2,12,198,279,11,32,93,438,110,8,16,90,
LGW1,LGW1_6/1,1-Jun-12,2,8,188,188,15,43,58,243,28,12,28,55,
LGW1,LGW1_6/3,3-Jun-12,1,7,188,181,13,43,53,243,21,11,27,50,
LGW1,LGW1_6/7,7-Jun-12,175,10,205,185,14,43,53,240,9,11,26,49,
LGW1,LGW1_6/11,11-Jun-12,2,7,191,188,14,45,53,248,25,11,29,50,
LGW1,LGW1_6/13,13-Jun-12,2,8,191,184,14,45,54,247,21,11,29,51,
LGW1,LGW1_6/18,18-Jun-12,1,9,190,182,13,46,54,252,21,10,30,51,
LGW1,LGW1_6/20,20-Jun-12,BDL,7,156,184,14,45,54,249,51,11,32,52,
LGW1,LGW1_6/22,22-Jun-12,0,0,0,186,15,46,56,236,186,15,46,56,
LGW1,LGW1_6/26,26-Jun-12,2,8,166,186,15,46,56,236,45,13,33,54,
LGW1,LGW1_7/2,2-Jul-12,3,9,188,203,17,50,72,269,43,14,34,69,
LGW1,LGW1_7/7,7-Jul-12,2,8,185,184,13,46,55,256,26,10,31,52,
LGW1,LGW1_7/9,9-Jul-12,3,10,189,189,13,46,56,255,27,10,30,53,
LGW1,LGW1_7/15,15-Jul-12,BDL,8,187,185,15,46,57,256,25,12,30,54,
LGW1,LGW1_7/18,18-Jul-12,BDL,10,200,195,23,47,61,259,25,20,31,58,
LGW1,LGW1_8/16,16-Aug-12,2,10,191,203,19,50,63,272,40,16,34,60,
LGW1,LGW1_8/18,18-Aug-12,0,0,0,194,18,48,60,261,194,18,48,60,
LGW1,LGW1_8/22,22-Aug-12,0,0,0,192,16,49,65,271,192,16,49,65,
LGW1,PR13-18,17-Mar-13,2,9,179,202,14,49,60,272,50,11,34,57,
LGW1,PR13-34,24-Mar-13,2,11,181,199,15,48,66,270,45,12,33,64,
LGW1,PR13-61,30-Mar-13,1,10,177,194,14,48,58,270,43,11,33,55,
LGW1,PR13-76,31-Mar-13,2,9,174,197,12,47,57,265,49,9,32,55,
LGW1,PR14-20,24-Feb-14,BDL,13,193,193,18,44,71,246,29,15,28,68,
LGW1,PR14-65,2-Mar-14,5,15,186,196,17,44,67,240,38,14,29,64,
LGW1,PR14-84,4-Jun-14,3,11,184,198,15,43,51,221,41,12,28,48,
LGW2B,LGW2B_8/16,16-Aug-12,BDL,65,200,278,33,70,294,321,107,30,54,291,
LGW2B,PR13-14,16-Mar-13,4,44,185,294,22,71,253,344,137,20,55,250,
LGW2B,PR13-15,16-Mar-13,6,47,179,298,25,65,251,350,145,22,50,248,
LGW2B,PR13-23,21-Mar-13,7,58,238,338,41,71,328,338,135,37,51,325,
LGW2B,PR13-28,23-Mar-13,2,47,181,283,30,66,337,322,129,28,51,334,
LGW2B,PR13-29,23-Mar-13,3,44,181,291,32,65,338,318,137,29,50,335,
LGW2B,PR13-32,24-Mar-13,4,41,184,295,35,65,358,326,137,32,50,355,
LGW2B,PR13-79,31-Mar-13,5,65,241,312,43,65,283,295,106,39,45,280,
LGW2B,PR14-6,22-Feb-14,BDL,40,182,286,20,61,207,349,131,17,46,205,
LGW2B,PR14-22,24-Feb-14,BDL,40,185,276,21,60,209,342,118,18,45,206,
LGW2B,PR14-25,24-Feb-14,BDL,37,182,298,28,59,244,372,142,25,43,242,
LGW2B,PR14-74,31-May-14,28,53,206,307,28,57,206,320,132,25,40,203,
LGW2B,PR14-82,4-Jun-14,58,54,217,334,36,58,207,330,149,32,41,203,
LGW2C,PR13-16,16-Mar-13,BDL,44,171,314,23,61,178,404,168,20,47,175,
LGW2C,PR13-17,17-Mar-13,1,42,157,301,17,45,134,400,167,15,32,132,
LGW2C,PR13-25,23-Mar-13,BDL,61,169,281,15,53,161,335,137,12,39,158,
LGW2C,PR13-26,23-Mar-13,3,56,169,283,14,56,173,336,139,12,42,171,
LGW2C,PR13-27,23-Mar-13,4,54,170,288,16,55,173,332,143,13,41,170,
LGW2C,PR13-30,24-Mar-13,3,49,162,288,15,55,175,344,151,12,42,172,
LGW2C,PR13-31,24-Mar-13,BDL,48,164,287,16,57,177,352,148,13,43,174,
LGW2C,PR13-45,27-Mar-13,2,46,163,299,17,56,176,363,160,15,43,173,
LGW2C,PR13-46,27-Mar-13,3,43,165,297,16,57,178,367,157,14,44,175,
LGW2C,PR13-46,27-Mar-13,BDL,54,159,290,18,57,180,367,154,15,43,177,Replicate after 37 months storage.
LGW2C,PR13-63,30-Mar-13,BDL,44,156,301,16,56,173,377,168,13,43,171,
LGW2C,PR13-78,31-Mar-13,BDL,42,155,307,18,55,170,396,174,15,42,167,
LGW2C,PR14-5,22-Feb-14,6,23,163,292,15,43,137,402,152,12,29,135,
LGW2C,PR14-21,24-Feb-14,BDL,26,161,294,14,44,143,405,157,12,30,140,
LGW2C,PR14-23,24-Feb-14,BDL,26,163,289,15,42,140,400,150,13,28,138,
LGW2C,PR14-24,24-Feb-14,BDL,27,166,287,16,42,141,390,146,13,28,138,
LGW2C,PR14-26,24-Feb-14,BDL,25,163,289,16,42,140,387,150,13,28,138,
LGW2C,PR14-39,26-Feb-14,BDL,24,159,293,13,42,143,389,157,11,29,141,
LGW2C,PR14-69,2-Mar-14,BDL,24,164,295,15,43,145,396,156,12,29,142,
LGW2C,PR14-70,2-Mar-14,BDL,32,170,289,15,43,142,389,145,12,29,139,
LGW2C,PR14-71,2-Mar-14,BDL,33,168,291,16,44,140,392,147,14,30,138,
LGW2C,PR14-79,1-Jun-14,3,25,158,311,17,44,146,393,176,14,31,144,
LGW2C,PR14-81,4-Jun-14,BDL,26,160,325,19,42,156,439,189,16,29,154,
EP1,PR14-1,21-Feb-14,22,21,266,355,33,96,259,592,128,29,74,255,
EP1,PR14-1,21-Feb-14,BDL,23,226,345,35,93,257,595,152,32,74,253,Replicate after 25 months storage.
EP1,PR14-4,22-Feb-14,116,22,249,373,35,94,250,575,160,31,74,246,
EP1,PR14-14,24-Feb-14,72,16,219,365,37,94,248,534,179,33,76,244,
EP1,PR14-15,24-Feb-14,32,17,209,356,32,91,231,566,178,28,74,228,
EP1,PR14-16,24-Feb-14,47,19,219,383,35,102,282,560,196,32,84,278,
EP1,PR14-37,26-Feb-14,105,19,227,377,36,94,246,565,184,32,75,243,
EP1,PR14-93,6-Jun-14,1,24,282,464,47,126,343,528,224,43,103,338,
Palo Colorado,LQGW19,21-Jun-11,0,308,175,253,31,107,487,708,104,28,92,484,Published by Scholl et al. (2015).
Palo Colorado,LQGW19,29-May-12,0,252,174,217,23,94,410,668,69,20,80,407,Published by Scholl et al. (2015).
Palo Colorado,PR14-53,1-Mar-14,BDL,238,183,241,41,101,511,681,85,38,86,508,
Palo Colorado,PR15-23,21-Jan-15,1,367,165,261,45,123,587,737,121,43,110,585,
Palo Colorado,PR15-55,24-Jan-15,1,355,162,252,40,122,608,747,114,38,109,605,
Caimitillo,LQGW16,21-Jun-11,0,126,224,298,28,136,973,627,107,25,117,969,Published by Scholl et al. (2015).
Caimitillo,LQGW16,29-May-12,0,149,222,294,24,144,981,638,105,21,126,977,Published by Scholl et al. (2015).
Caimitillo,PR14-2,22-Feb-14,BDL,144,275,298,27,140,980,613,64,23,117,976,
Caimitillo,PR14-47,27-Feb-14,BDL,145,269,293,26,137,981,600,64,22,115,977,
Caimitillo,PR14-54,1-Mar-14,BDL,152,260,291,27,139,980,596,70,23,118,976,
Caimitillo,PR15-53,24-Jan-15,BDL,134,218,296,23,143,1043,644,110,20,125,1040,
Caimitillo,PR15-54,24-Jan-15,1,142,219,307,24,142,1060,643,121,20,124,1056,
Aviary,LQGW21,29-May-12,3,48,370,644,7,408,664,758,329,1,377,658,Published by Scholl et al. (2015).
Aviary,PR14-3,22-Feb-14,8,34,358,618,9,425,573,787,312,3,396,567,
Aviary,PR14-46,27-Feb-14,BDL,42,358,647,10,418,704,744,342,5,389,698,
